,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
4900,service innovation,applied probability theory,0.597,75,20,service,0.373,economics,0.213,operations,0.75,management,0.25,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
4901,human-robot interaction,hrm practices and systems,0.597,26,21,service,0.654,marketing,0.154,human_resources,0.619,management,0.19,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
4902,social work and symbolic interaction,relationship management and commitment theories,0.597,14,32,service,0.357,human_resources,0.214,marketing,0.688,service,0.094,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
4903,industrial economics,human-robot interaction,0.597,92,26,economics,0.304,finance,0.12,service,0.654,marketing,0.154,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
4904,consumer welfare and social welfare analysis,emotional and cognitive responses to service failures,0.597,30,10,information_systems,0.3,management,0.2,service,0.5,marketing,0.3,4,1,Platform Economics & Market Design,Consumer Psychology & Decision Making
4905,frontline employee behavior and management,mediation and moderation analysis,0.597,19,33,service,0.684,marketing,0.316,organization,0.242,management,0.212,2,2,Organizational Behavior & HRM,Organizational Behavior & HRM
4906,professional identity and role dynamics,transformative service research,0.597,30,17,management,0.367,human_resources,0.333,service,0.941,marketing,0.059,3,3,Institutional & Social Studies,Institutional & Social Studies
4907,service industry analysis and characteristics,reputation theory and economic implications,0.597,21,21,service,0.19,economics,0.143,management,0.333,finance,0.143,11,16,Sustainability & CSR,Communication & Reputation Management
4908,professional and general service design,international trade and economics,0.597,38,33,service,0.579,operations,0.368,economics,0.697,ethics,0.091,14,4,Service Operations & Design,Platform Economics & Market Design
4909,service industry analysis and characteristics,customer retention and churn management,0.597,21,24,service,0.19,economics,0.143,marketing,0.542,service,0.167,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
4910,managerial decision making and support,value creation and co-creation in service contexts,0.597,50,17,management,0.3,marketing,0.24,service,0.588,marketing,0.294,8,3,Strategic Management & Performance,Institutional & Social Studies
4911,professional and general service design,regional innovation systems and contexts,0.597,38,25,service,0.579,operations,0.368,economics,0.44,accounting,0.24,14,5,Service Operations & Design,Innovation & Technology Management
4912,business process management and improvement,service ecosystems theory and research,0.597,26,15,operations,0.423,management,0.192,service,0.733,marketing,0.2,8,3,Strategic Management & Performance,Institutional & Social Studies
4913,interdisciplinary and multidisciplinary research approaches and collaboration,blockchain and cryptocurrency technologies,0.597,37,19,service,0.297,management,0.216,operations,0.316,management,0.211,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
4914,human-robot interaction,inter-firm relationships and collaboration networks,0.597,26,19,service,0.654,marketing,0.154,economics,0.263,finance,0.158,17,8,AI & Human-Computer Interaction,Strategic Management & Performance
4915,market power and market structure,interdisciplinary and multidisciplinary research approaches and collaboration,0.597,95,37,marketing,0.316,management,0.242,service,0.297,management,0.216,4,3,Platform Economics & Market Design,Institutional & Social Studies
4916,service encounter interaction and process,digital platforms and their management,0.597,23,22,service,0.609,marketing,0.13,management,0.364,information_systems,0.273,14,3,Service Operations & Design,Institutional & Social Studies
4917,transaction cost economics,interdisciplinary and multidisciplinary research approaches and collaboration,0.597,87,37,management,0.264,information_systems,0.195,service,0.297,management,0.216,13,3,Supply Chain & Contract Management,Institutional & Social Studies
4918,ai applications in service delivery and systems,routing and scheduling policies in service systems,0.597,10,10,service,0.8,marketing,0.2,operations,1.0,accounting,0.0,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
4919,sustainability research and science,justice perceptions and theories in service contexts,0.597,107,13,ethics,0.393,operations,0.196,service,0.615,ethics,0.154,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
4920,service science and research,quality management systems and practices,0.597,44,60,service,0.477,information_systems,0.136,operations,0.7,marketing,0.083,18,8,Service-Dominant Logic & Value Co-creation,Strategic Management & Performance
4921,service innovation,audit quality and regulatory framework,0.597,75,12,service,0.373,economics,0.213,accounting,0.75,ethics,0.167,5,6,Innovation & Technology Management,"Finance, Governance & Regulation"
4922,employee attitudes and behavioral responses,service science and research,0.597,102,44,organization,0.314,ethics,0.196,service,0.477,information_systems,0.136,2,18,Organizational Behavior & HRM,Service-Dominant Logic & Value Co-creation
4923,quality management systems and practices,"servicescapes and their design, management, and theory",0.597,60,14,operations,0.7,marketing,0.083,service,0.714,marketing,0.143,8,7,Strategic Management & Performance,Marketing & Customer Relationship Management
4924,robotics and automation engineering,buyer-supplier relationships,0.597,17,28,service,0.412,economics,0.176,marketing,0.321,operations,0.25,5,13,Innovation & Technology Management,Supply Chain & Contract Management
4925,service encounter interaction and process,ethical leadership and standards,0.597,23,19,service,0.609,marketing,0.13,ethics,0.842,human_resources,0.053,14,2,Service Operations & Design,Organizational Behavior & HRM
4926,interdisciplinary and multidisciplinary research approaches and collaboration,innovation dynamics and trajectories,0.597,37,15,service,0.297,management,0.216,economics,0.333,organization,0.267,3,5,Institutional & Social Studies,Innovation & Technology Management
4927,human-robot interaction,high-performance work systems (hpws),0.597,26,21,service,0.654,marketing,0.154,human_resources,0.333,management,0.333,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
4928,human-robot interaction,decision making under uncertainty,0.597,26,36,service,0.654,marketing,0.154,operations,0.389,marketing,0.278,17,0,AI & Human-Computer Interaction,Operations Research & Queueing Theory
4929,service innovation,profit optimization and maximization,0.597,75,26,service,0.373,economics,0.213,operations,0.5,management,0.154,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
4930,justice perceptions and theories in service contexts,ai applications in service delivery and systems,0.597,13,10,service,0.615,ethics,0.154,service,0.8,marketing,0.2,7,17,Marketing & Customer Relationship Management,AI & Human-Computer Interaction
4931,service encounter evaluation and quality,service coproduction,0.597,12,12,service,0.75,marketing,0.25,operations,0.417,service,0.333,1,14,Consumer Psychology & Decision Making,Service Operations & Design
4932,social enterprise and its management,ai applications in service delivery and systems,0.597,14,10,management,0.286,ethics,0.214,service,0.8,marketing,0.2,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
4933,service ecosystems theory and research,digital communication technologies,0.597,15,22,service,0.733,marketing,0.2,marketing,0.318,information_systems,0.273,3,16,Institutional & Social Studies,Communication & Reputation Management
4934,service science and research,innovation performance measurement and evaluation,0.597,44,39,service,0.477,information_systems,0.136,economics,0.205,accounting,0.179,18,5,Service-Dominant Logic & Value Co-creation,Innovation & Technology Management
4935,professional and general service design,appropriability mechanisms and strategies,0.597,38,14,service,0.579,operations,0.368,economics,0.286,finance,0.214,14,5,Service Operations & Design,Innovation & Technology Management
4936,systems theory and engineering,new service development,0.597,33,22,operations,0.333,management,0.242,service,0.455,operations,0.318,0,14,Operations Research & Queueing Theory,Service Operations & Design
4937,optimization theory and methods,justice perceptions and theories in service contexts,0.597,199,13,operations,0.734,management,0.201,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
4938,audit quality and effectiveness,human-robot interaction,0.596,42,26,accounting,0.833,ethics,0.095,service,0.654,marketing,0.154,6,17,"Finance, Governance & Regulation",AI & Human-Computer Interaction
